,id,name,last_modified
356,1017835,Dora Milaje,2021-08-12T23:52:20-0400
357,1011195,Dorian Gray,1969-12-31T19:00:00-0500
358,1009280,Dormammu,2010-12-01T12:27:51-0500
359,1014992,Dormammu (Ultimate),2012-07-10T19:31:24-0400
360,1017300,Dr. Strange (Marvel: Avengers Alliance),2013-09-18T10:17:22-0400
361,1010677,Dracula,2014-02-20T20:49:31-0500
362,1011247,Dragon Lord,1969-12-31T19:00:00-0500
363,1009283,Dragon Man,2011-10-27T09:58:45-0400
364,1010735,Drax,2013-10-17T14:57:24-0400
365,1010368,Dreadnoughts,1969-12-31T19:00:00-0500
366,1015007,Dreaming Celestial,2012-08-07T10:03:40-0400
367,1011322,Druig,1969-12-31T19:00:00-0500
368,1009284,Dum Dum Dugan,2011-07-28T12:55:53-0400
369,1009285,Dust,1969-12-31T19:00:00-0500
370,1009286,Earthquake,1969-12-31T19:00:00-0500
371,1010785,Echo,2004-04-14T00:00:00-0400
372,1010787,Eddie Brock,2021-08-03T22:59:17-0400
373,1009396,Eddie Lau,1969-12-31T19:00:00-0500
374,1010999,"Edward ""Ted"" Forrester",1969-12-31T19:00:00-0500
375,1011072,Edwin Jarvis,2011-08-08T13:32:22-0400
376,1011060,Ego,2014-04-29T14:18:44-0400
377,1009287,Electro,2015-06-12T13:16:44-0400
378,1010922,Electro (Ultimate),1969-12-31T19:00:00-0500
379,1009288,Elektra,2017-08-21T16:51:16-0400
380,1010923,Elektra (Ultimate),2014-03-05T13:26:27-0500
381,1010355,Elements of Doom,1969-12-31T19:00:00-0500
382,1009290,Elite,1969-12-31T19:00:00-0500
383,1011082,Elixir,2013-11-01T16:26:56-0400
384,1011122,Elloe Kaifi,2013-10-24T13:17:25-0400
385,1010701,Elsa Bloodstone,1969-12-31T19:00:00-0500
386,1009310,Emma Frost,2016-07-05T14:28:45-0400
387,1009291,Empath,-0001-11-30T00:00:00-0500
388,1009292,Emplate,1969-12-31T19:00:00-0500
389,1010671,Enchantress (Amora),2013-11-01T16:26:51-0400
390,1011432,Enchantress (Sylvie Lushton),2016-02-01T14:18:56-0500
391,1011313,Ender Wiggin,2010-12-08T12:39:15-0500
392,1010445,Energizer,1969-12-31T19:00:00-0500
393,1011065,Epoch,1969-12-31T19:00:00-0500
394,1009293,Erik the Red,1969-12-31T19:00:00-0500
395,1010807,Eternals,2014-06-16T11:23:46-0400
396,1011061,Eternity,1969-12-31T19:00:00-0500
397,1010771,Excalibur,1969-12-31T19:00:00-0500
398,1012378,Executioner (Skurge),2021-08-13T00:17:53-0400
399,1009294,Exiles,2010-11-18T14:08:22-0500
400,1009295,Exodus,2013-10-24T13:17:29-0400
401,1009296,Expediter,1969-12-31T19:00:00-0500
402,1011199,Ezekiel,1969-12-31T19:00:00-0500
403,1011317,Ezekiel Stane,1969-12-31T19:00:00-0500
404,1009248,Fabian Cortez,1969-12-31T19:00:00-0500
405,1009297,Falcon,2016-06-02T12:31:51-0400
406,1017110,Falcon/Sam Wilson (MAA),2013-09-18T15:52:17-0400
407,1011143,Fallen One,1969-12-31T19:00:00-0500
408,1009298,Famine,1969-12-31T19:00:00-0500
409,1009299,Fantastic Four,2016-05-05T14:38:42-0400
410,1011013,Fantastic Four (Ultimate),1969-12-31T19:00:00-0500
411,1011111,Fantastick Four,1969-12-31T19:00:00-0500
412,1009301,Fantomex,2014-04-29T14:52:10-0400
413,1011233,Fat Cobra,2011-05-26T17:52:52-0400
414,1009335,Felicia Hardy,1969-12-31T19:00:00-0500
415,1009302,Fenris,1969-12-31T19:00:00-0500
416,1011213,Feral,1969-12-31T19:00:00-0500
417,1009303,Fin Fang Foom,2011-05-24T16:44:22-0400
418,1010868,Firebird,1969-12-31T19:00:00-0500
419,1009304,Firebrand,1969-12-31T19:00:00-0500
420,1014987,Firedrake,2010-11-18T15:58:52-0500
421,1009305,Firelord,2010-11-18T14:27:51-0500
422,1009306,Firestar,2013-10-17T14:57:09-0400
423,1011222,Firestar (Ultimate),2011-03-10T16:54:12-0500
424,1010880,Fixer (Paul Norbert Ebersol),2011-08-23T19:20:05-0400
425,1010863,Flatman,1969-12-31T19:00:00-0500
426,1010333,Flying Dutchman,1969-12-31T19:00:00-0500
427,1009470,Foggy Nelson,2015-03-30T16:58:58-0400
428,1009307,Force Works,2013-11-01T16:26:47-0400
429,1009308,Forearm,1969-12-31T19:00:00-0500
430,1009309,Forge,2013-10-24T13:28:57-0400
431,1014993,Forge (Ultimate),2012-07-10T19:32:29-0400
432,1011177,Forgotten One,1969-12-31T19:00:00-0500
433,1009229,Frank Castle,2004-04-14T00:00:00-0400
434,1011356,Frankenstein's Monster,2011-05-13T14:32:06-0400
435,1009539,Franklin Richards,2014-04-29T14:23:45-0400
436,1010980,Franklin Storm,1969-12-31T19:00:00-0500
437,1011240,Freak,1969-12-31T19:00:00-0500
438,1012478,Frenzy,2021-08-27T17:57:29-0400
439,1010799,Frightful Four,1969-12-31T19:00:00-0500
440,1011389,Frog Thor,1969-12-31T19:00:00-0500
441,1010670,Frog-Man,2011-06-08T12:00:18-0400
442,1009377,Gabe Jones,1969-12-31T19:00:00-0500
443,1009312,Galactus,2014-09-30T16:47:03-0400
444,1011384,Galia,1969-12-31T19:00:00-0500
445,1009313,Gambit,2016-03-14T12:47:45-0400
446,1011201,Gamma Corps,1969-12-31T19:00:00-0500
447,1010763,Gamora,2016-06-02T13:39:18-0400
448,1017324,Gamora (Marvel War of Heroes),2013-09-18T11:00:11-0400
449,1010832,Gargoyle,2004-04-14T00:00:00-0400
450,1012512,Gargoyle (Isaac Christians),2021-08-27T22:01:59-0400
451,1012513,Gargoyle (Yuri Topolov),2010-12-15T13:35:44-0500
452,1011380,Garia,1969-12-31T19:00:00-0500
453,1009383,Garrison Kane,1969-12-31T19:00:00-0500
454,1009315,Gateway,1969-12-31T19:00:00-0500
455,1009316,Gauntlet (Joseph Green),2014-04-29T14:42:58-0400
456,1011248,Geiger,2013-11-01T16:24:26-0400
457,1009556,Gene Sailors,1969-12-31T19:00:00-0500
458,1011285,Generation X,1969-12-31T19:00:00-0500
459,1009317,Genesis,1969-12-31T19:00:00-0500
